,Model,p,Iteration,Clients per Round,Loss,Accuracy,V-Measure,Homogeneity,Completeness,NMI,Kappa
0,k-means,0.0,0,10,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
1,k-means,0.0,0,20,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
2,k-means,0.0,0,30,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
3,k-means,0.0,0,40,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
4,k-means,0.0,0,50,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
5,k-means,0.0,0,60,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
6,k-means,0.0,0,70,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
7,k-means,0.0,0,80,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
8,k-means,0.0,0,90,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
9,k-means,0.0,0,100,8.271409,0.43362,0.40398694965348336,0.42711129156279315,0.38323796477495725,0.40398694965348336,0.4102956232873737
10,k-means,0.0,1,10,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
11,k-means,0.0,1,20,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
12,k-means,0.0,1,30,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
13,k-means,0.0,1,40,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
14,k-means,0.0,1,50,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
15,k-means,0.0,1,60,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
16,k-means,0.0,1,70,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
17,k-means,0.0,1,80,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
18,k-means,0.0,1,90,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
19,k-means,0.0,1,100,8.272076,0.42166,0.39594781590000033,0.4194382049827577,0.3749490175009445,0.39594781590000033,0.39729655434221267
20,k-means,0.0,2,10,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
21,k-means,0.0,2,20,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
22,k-means,0.0,2,30,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
23,k-means,0.0,2,40,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
24,k-means,0.0,2,50,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
25,k-means,0.0,2,60,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
26,k-means,0.0,2,70,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
27,k-means,0.0,2,80,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
28,k-means,0.0,2,90,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
29,k-means,0.0,2,100,8.281436,0.4333,0.4042629706378852,0.4277258363114882,0.38324035252897287,0.4042629706378852,0.40918245266688313
30,k-means,0.0,3,10,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
31,k-means,0.0,3,20,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
32,k-means,0.0,3,30,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
33,k-means,0.0,3,40,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
34,k-means,0.0,3,50,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
35,k-means,0.0,3,60,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
36,k-means,0.0,3,70,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
37,k-means,0.0,3,80,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
38,k-means,0.0,3,90,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
39,k-means,0.0,3,100,8.267479,0.43522,0.4003012421885742,0.42351984664213665,0.379496146540662,0.40030124218857427,0.412165953071577
40,k-means,0.0,4,10,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
41,k-means,0.0,4,20,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
42,k-means,0.0,4,30,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
43,k-means,0.0,4,40,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
44,k-means,0.0,4,50,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
45,k-means,0.0,4,60,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
46,k-means,0.0,4,70,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
47,k-means,0.0,4,80,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
48,k-means,0.0,4,90,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
49,k-means,0.0,4,100,8.272681,0.43952,0.4036061989312264,0.42740845793244986,0.38231517254172576,0.4036061989312264,0.41583387014331785
50,k-means,0.0,5,10,8.281024,0.4272,0.39710546167614835,0.42016689259491036,0.37644383044439544,0.39710546167614835,0.4021835676853833
