,Model,p,Iteration,Clients per Round,Loss,Accuracy,V-Measure,Homogeneity,Completeness,NMI,Kappa
0,k-means,0.0,0,10,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
1,k-means,0.0,0,20,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
2,k-means,0.0,0,30,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
3,k-means,0.0,0,40,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
4,k-means,0.0,0,50,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
5,k-means,0.0,0,60,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
6,k-means,0.0,0,70,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
7,k-means,0.0,0,80,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
8,k-means,0.0,0,90,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
9,k-means,0.0,0,100,35.263348,0.71395,0.5481736071579812,0.6277946274740682,0.4864755912198106,0.5481736071579812,0.6819802160842983
10,k-means,0.0,1,10,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
11,k-means,0.0,1,20,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
12,k-means,0.0,1,30,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
13,k-means,0.0,1,40,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
14,k-means,0.0,1,50,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
15,k-means,0.0,1,60,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
16,k-means,0.0,1,70,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
17,k-means,0.0,1,80,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
18,k-means,0.0,1,90,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
19,k-means,0.0,1,100,35.15042,0.72795,0.5590615034044073,0.6395663869979382,0.4965577164997761,0.5590615034044072,0.6975427413777766
20,k-means,0.0,2,10,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
21,k-means,0.0,2,20,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
22,k-means,0.0,2,30,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
23,k-means,0.0,2,40,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
24,k-means,0.0,2,50,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
25,k-means,0.0,2,60,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
26,k-means,0.0,2,70,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
27,k-means,0.0,2,80,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
28,k-means,0.0,2,90,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
29,k-means,0.0,2,100,35.266933,0.7295833333333334,0.5522478381122595,0.6315336513078375,0.4906493294658773,0.5522478381122594,0.6993029350912319
30,k-means,0.0,3,10,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
31,k-means,0.0,3,20,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
32,k-means,0.0,3,30,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
33,k-means,0.0,3,40,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
34,k-means,0.0,3,50,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
35,k-means,0.0,3,60,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
36,k-means,0.0,3,70,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
37,k-means,0.0,3,80,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
38,k-means,0.0,3,90,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
39,k-means,0.0,3,100,35.13143,0.7074333333333334,0.5468141885119211,0.6261783013600757,0.4853048843367306,0.5468141885119209,0.6746511109493201
40,k-means,0.0,4,10,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
41,k-means,0.0,4,20,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
42,k-means,0.0,4,30,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
43,k-means,0.0,4,40,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
44,k-means,0.0,4,50,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
45,k-means,0.0,4,60,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
46,k-means,0.0,4,70,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
47,k-means,0.0,4,80,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
48,k-means,0.0,4,90,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
49,k-means,0.0,4,100,35.169308,0.71115,0.5460940858613518,0.6237828541604254,0.485613553866023,0.5460940858613519,0.6787571889011205
50,k-means,0.0,5,10,35.18563,0.72205,0.5468582203363718,0.6271035154331963,0.4848198050400559,0.5468582203363717,0.6909522675684602
51,k-means,0.0,5,20,35.18563,0.72205,0.5468582203363718,0.6271035154331963,0.4848198050400559,0.5468582203363717,0.6909522675684602
52,k-means,0.0,5,30,35.18563,0.72205,0.5468582203363718,0.6271035154331963,0.4848198050400559,0.5468582203363717,0.6909522675684602
