,Model,p,Iteration,Clients per Round,Loss,Accuracy,V-Measure,Homogeneity,Completeness,NMI,Kappa
0,k-means,0.0,0,10,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
1,k-means,0.0,0,20,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
2,k-means,0.0,0,30,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
3,k-means,0.0,0,40,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
4,k-means,0.0,0,50,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
5,k-means,0.0,0,60,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
6,k-means,0.0,0,70,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
7,k-means,0.0,0,80,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
8,k-means,0.0,0,90,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
9,k-means,0.0,0,100,0.072607785,0.9194,0.8503809307690448,0.8503743852505916,0.8503874763882632,0.8503809307690448,0.89925
10,k-means,0.0,1,10,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
11,k-means,0.0,1,20,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
12,k-means,0.0,1,30,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
13,k-means,0.0,1,40,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
14,k-means,0.0,1,50,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
15,k-means,0.0,1,60,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
16,k-means,0.0,1,70,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
17,k-means,0.0,1,80,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
18,k-means,0.0,1,90,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
19,k-means,0.0,1,100,0.07260403,0.91965,0.8509346019219697,0.8509279920692991,0.8509412118773292,0.8509346019219696,0.8995625
20,k-means,0.0,2,10,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
21,k-means,0.0,2,20,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
22,k-means,0.0,2,30,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
23,k-means,0.0,2,40,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
24,k-means,0.0,2,50,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
25,k-means,0.0,2,60,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
26,k-means,0.0,2,70,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
27,k-means,0.0,2,80,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
28,k-means,0.0,2,90,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
29,k-means,0.0,2,100,0.086798325,0.7974,0.815724514034237,0.7836431109390424,0.850544791166825,0.815724514034237,0.74675
30,k-means,0.0,3,10,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
31,k-means,0.0,3,20,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
32,k-means,0.0,3,30,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
33,k-means,0.0,3,40,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
34,k-means,0.0,3,50,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
35,k-means,0.0,3,60,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
36,k-means,0.0,3,70,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
37,k-means,0.0,3,80,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
38,k-means,0.0,3,90,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
39,k-means,0.0,3,100,0.072607525,0.9194,0.8503782561528282,0.8503717106549621,0.8503848017514595,0.8503782561528282,0.89925
40,k-means,0.0,4,10,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
41,k-means,0.0,4,20,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
42,k-means,0.0,4,30,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
43,k-means,0.0,4,40,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
44,k-means,0.0,4,50,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
45,k-means,0.0,4,60,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
46,k-means,0.0,4,70,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
47,k-means,0.0,4,80,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
48,k-means,0.0,4,90,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
49,k-means,0.0,4,100,0.07260534,0.9193,0.8502612470789144,0.8502548777541445,0.8502676164991113,0.8502612470789144,0.899125
50,k-means,0.0,5,10,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
51,k-means,0.0,5,20,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
52,k-means,0.0,5,30,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
53,k-means,0.0,5,40,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
54,k-means,0.0,5,50,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
55,k-means,0.0,5,60,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
56,k-means,0.0,5,70,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
57,k-means,0.0,5,80,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
58,k-means,0.0,5,90,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
59,k-means,0.0,5,100,0.07260623,0.9198,0.8508939255607346,0.8508898647838976,0.8508979863763311,0.8508939255607347,0.89975
60,k-means,0.0,6,10,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
61,k-means,0.0,6,20,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
62,k-means,0.0,6,30,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
63,k-means,0.0,6,40,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
64,k-means,0.0,6,50,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
65,k-means,0.0,6,60,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
66,k-means,0.0,6,70,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
67,k-means,0.0,6,80,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
68,k-means,0.0,6,90,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
69,k-means,0.0,6,100,0.0726056,0.92035,0.8522260846125859,0.8521896159994552,0.8522625563471268,0.8522260846125859,0.9004375
70,k-means,0.0,7,10,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
71,k-means,0.0,7,20,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
72,k-means,0.0,7,30,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
73,k-means,0.0,7,40,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
74,k-means,0.0,7,50,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
75,k-means,0.0,7,60,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
76,k-means,0.0,7,70,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
77,k-means,0.0,7,80,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
78,k-means,0.0,7,90,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
79,k-means,0.0,7,100,0.086721264,0.79725,0.8150196845884452,0.7829306187030506,0.8498515612453882,0.8150196845884452,0.7465625
80,k-means,0.0,8,10,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
81,k-means,0.0,8,20,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
82,k-means,0.0,8,30,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
83,k-means,0.0,8,40,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
84,k-means,0.0,8,50,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
85,k-means,0.0,8,60,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
86,k-means,0.0,8,70,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
87,k-means,0.0,8,80,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
88,k-means,0.0,8,90,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
89,k-means,0.0,8,100,0.08680629,0.79735,0.8155947969984675,0.7833979373279312,0.8505516041809986,0.8155947969984674,0.7466875
90,k-means,0.0,9,10,0.07260753,0.91945,0.8504265663307504,0.8504200106175203,0.8504331221450545,0.8504265663307504,0.8993125
91,k-means,0.0,9,20,0.07260753,0.91945,0.8504265663307504,0.8504200106175203,0.8504331221450545,0.8504265663307504,0.8993125
